TIME, VerticalSpeed, RadarAltitude, TargetVerticalSpeed, TargetThrottle, EngineResponse(kn), Latitude, Longitude, XError, YError, TargetXSpeed, CurrentXSpeed, TargetXPitch, TargetYSpeed, CurrentYSpeed, TargetYPitch, TotalTargetPitch, TotalTargetHeading
47727.4400507391, -11.1349631329317, 542.797119140625, -20, 0.01, 314.798004150391, 28.6083431243896, -80.5997619628906, -292.680935638756, -102.86243329027, 15, -0.140137135021701, 15, 8.22899466322163, -0.860736535688777, 11.1816600336054, 18.6320352849552, 53.1575894115255
47727.520050739, -11.4851275760492, 542.071594238281, -20, 0.01, 314.260650634766, 28.6083431243896, -80.5997619628906, -292.680935638756, -102.86243329027, 15, -0.0547017467354758, 15, 8.22899466322163, -0.864135910693774, 11.1608750682164, 18.6198566522804, 53.2080815986143
47727.600050739, -11.7480132465065, 541.500793457031, -20, 0.01, 314.831481933594, 28.6083431243896, -80.5997619628906, -292.680935638756, -102.86243329027, 15, 0.0100252856936476, 15, 8.22899466322163, -0.863492541141434, 11.137056430331, 18.6059185686974, 53.2660297797631
47727.660050739, -12.0984364547923, 540.359375, -20, 0.01, 314.469512939453, 28.608341217041, -80.5997619628906, -292.680935638756, -103.074520781582, 15, 0.0964257018334304, 15, 8.40502728103537, -0.858706076748631, 11.3050706821575, 18.7046471635621, 52.859236053488
47727.740050739, -12.448755022875, 539.217834472656, -20, 0.01, 313.743225097656, 28.608341217041, -80.5997619628906, -292.680935638756, -103.074520781582, 15, 0.182155631162971, 15, 8.24596166252652, -0.849840736137352, 11.0922047624716, 18.579725043304, 53.3753998489097
47727.820050739, -12.7991838761742, 538.37255859375, -20, 0.01, 313.823089599609, 28.608341217041, -80.5997619628906, -292.680935638756, -103.074520781582, 15, 0.266695253055886, 15, 8.24596166252652, -0.837788382029538, 11.0611063363489, 18.5616039000019, 53.4514254462771
47727.900050739, -13.0619968055406, 537.385925292969, -20, 0.01, 313.73388671875, 28.608341217041, -80.5997619628906, -292.680935638756, -103.074520781582, 15, 0.329326336463231, 15, 8.24596166252652, -0.826181263101136, 11.0269425459098, 18.5417348690393, 53.5351269379609
47727.960050739, -13.4124181951106, 536.660461425781, -20, 0.085448751496255, 321.598449707031, 28.608341217041, -80.5997619628906, -292.680935638756, -103.074520781582, 15, 0.411591860574048, 15, 8.24596166252652, -0.80634195385646, 10.9776535876518, 18.5131402483629, 53.6562215918046
47728.040050739, -13.7586960353051, 535.399230957031, -20, 0.01, 325.077209472656, 28.608341217041, -80.5997619628906, -292.680935638756, -103.074520781582, 15, 0.494028490641553, 15, 8.24596166252652, -0.780827025463712, 10.9116899609124, 18.4750036549509, 53.8189061035983
47728.1200507389, -14.0932195785912, 534.257751464844, -20, 0.01, 321.123413085938, 28.6083393096924, -80.5997619628906, -292.680935638756, -103.286608272893, 15, 0.575738277971504, 15, 8.42199428034028, -0.750410412051276, 11.0570044522932, 18.5592161987629, 53.4614650125071
47728.2000507389, -14.3462193433517, 533.116271972656, -20, 0.01, 319.078887939453, 28.6083393096924, -80.5997543334961, -291.832585673511, -103.286608272893, 15, 0.634227553597238, 15, 8.26292866183142, -0.72569426896145, 10.8228226818243, 18.4238653178736, 54.0392079121842
47728.2600507389, -14.6874095787265, 531.974670410156, -20, 0.361865800567343, 348.966644287109, 28.6083393096924, -80.5997543334961, -291.832585673511, -103.286608272893, 15, 0.711491550615169, 15, 8.26292866183142, -0.688327427270371, 10.752053594875, 18.3833398870101, 54.215575283397
47728.3400507389, -15.0150438279798, 530.833435058594, -20, 0.01, 363.396087646484, 28.6083393096924, -80.5997543334961, -291.832585673511, -103.286608272893, 15, 0.794472170253685, 15, 8.26292866183142, -0.641977775704374, 10.6361868640721, 18.3173725859069, 54.5061209607288
47728.4200507389, -15.2919531708746, 529.572387695313, -20, 0.01, 351.805572509766, 28.6083393096924, -80.5997543334961, -291.832585673511, -103.286608272893, 15, 0.879153167545803, 15, 8.26292866183142, -0.590064017455734, 10.5392419481895, 18.2625468033922, 54.7509303275707
47728.5000507389, -15.5107393003651, 529.001525878906, -20, 0.01, 339.450378417969, 28.6083393096924, -80.5997543334961, -291.832585673511, -103.286608272893, 15, 0.93757476456787, 15, 8.26292866183142, -0.551231918299375, 10.4989641208505, 18.2398677943576, 54.8531015231039
47728.5600507389, -15.820480636657, 527.740234375, -20, 0.491288282783956, 373.340087890625, 28.6083393096924, -80.5997543334961, -291.832585673511, -103.286608272893, 15, 1.01825143616534, 15, 8.26292866183142, -0.490134592728949, 10.3627408305427, 18.1636019522841, 55.2006608302094
47728.6400507389, -16.1264445919967, 526.147888183594, -20, 0.150943200989186, 402.899932861328, 28.6083393096924, -80.5997543334961, -291.832585673511, -103.286608272893, 15, 1.1178056211094, 15, 8.26292866183142, -0.404408594874808, 10.0820884607645, 18.0086309898738, 55.9265295935399
47728.7200507388, -16.3702463995256, 524.886962890625, -20, 0.01, 393.668914794922, 28.6083393096924, -80.5997543334961, -291.832585673511, -103.286608272893, 15, 1.23980610015449, 15, 8.26292866183142, -0.29335721131933, 9.76573143640496, 17.8375018783484, 56.760700307834
47728.7800507388, -16.5570194851971, 523.780517578125, -20, 0.01, 368.865692138672, 28.6083393096924, -80.5997467041016, -290.984235708267, -103.286608272893, 15, 1.33300979423518, 15, 8.26292866183142, -0.205454467603368, 9.61918711332173, 17.7595373803596, 57.152877107501
47728.8600507388, -16.8377311193619, 522.638977050781, -20, 0.603504144248901, 402.238403320313, 28.6083393096924, -80.5997467041016, -290.984235708267, -103.286608272893, 15, 1.45234941073348, 15, 8.26292866183142, -0.0882310592574054, 9.48505182564726, 17.6889130368411, 57.5150614233905
47728.9400507388, -17.1213672073814, 521.378112792969, -20, 0.322975794279897, 446.942443847656, 28.6083393096924, -80.5997467041016, -290.984235708267, -103.286608272893, 15, 1.578621204409, 15, 8.26292866183142, 0.0420912175354046, 9.23700025008319, 17.5601984892103, 58.1929621953206
47729.0200507388, -17.3255861834994, 519.821105957031, -20, 0.0655187133664573, 443.994567871094, 28.6083393096924, -80.5997467041016, -290.984235708267, -103.286608272893, 15, 1.72526241809877, 14.4712378036969, 8.26292866183142, 0.195041266708736, 8.89020620810918, 16.9340489191493, 58.2661793407678
