TIME, VerticalSpeed, RadarAltitude, TargetVerticalSpeed, TargetThrottle, Latitude, Longitude, XError, YError, TargetXSpeed, CurrentXSpeed, TargetXPitch, TargetYSpeed, CurrentYSpeed, TargetYPitch, TotalTargetPitch, TotalTargetHeading
47500.6488679109, -15.1075127390556, 308.38134765625, -15, 0.411173329861469, 28.6088619232178, -80.598258972168, -151.110810528716, -33.8785124501806, 11.2405148769167, 13.460046910194, -1.9834660370031, 2.49819350466932, 4.08124335980632, -1.37679801134188, 2.41432246642589, -124.768740045175
47500.7088679109, -15.1068469928627, 307.422912597656, -15, 0.412260460357301, 28.6088638305664, -80.5982513427734, -150.262460563471, -33.6664249588694, 11.1726468796972, 13.4351821552788, -1.97820804645264, 2.48122650536443, 4.06187495710742, -1.35079452522755, 2.39525109538085, -124.329554154166
47500.7688679109, -15.1059929937298, 306.462890625, -15, 0.412079962235303, 28.608865737915, -80.5982437133789, -149.414110598226, -33.4543374675582, 11.1047788824776, 13.4057036491635, -1.97951847862801, 2.46425950605952, 4.03756236610703, -1.29348191388599, 2.36451329055483, -123.164901123802
47500.8288679109, -15.1046463207329, 305.504455566406, -15, 0.411444670445204, 28.6088676452637, -80.5982360839844, -148.565760632982, -33.2422499762471, 11.036910885258, 13.3713467026901, -1.97234799742511, 2.44729250675462, 4.0093114370306, -1.24149502875144, 2.33042005654035, -122.191455767384
47500.8888679109, -15.1037769949085, 304.664245605469, -15, 0.411806060410613, 28.6088695526123, -80.5982284545898, -147.717410667737, -33.0301624849359, 10.9690428880384, 13.3319431419188, -1.95745691832829, 2.43032550744974, 3.97786140768433, -1.19305291153833, 2.29226067402448, -121.365056482681
47500.9488679109, -15.1035208161334, 303.705749511719, -15, 0.41252510722344, 28.6088714599609, -80.5982208251953, -146.869060702492, -32.8180749936247, 10.9011748908188, 13.2878524518338, -1.94055040028195, 2.41335850814485, 3.94346295692239, -1.14356901829751, 2.25232898579784, -120.514031073801
47501.0088679109, -15.1034638419779, 302.745727539063, -15, 0.412978712936804, 28.6088733673096, -80.5982055664063, -145.172360772003, -32.6059875023135, 9.91708893099914, 13.2393314994985, -3.02091913229342, 2.39639150883994, 3.90631688764003, -1.09278390434315, 3.21232349865455, -109.894409639555
47501.0688679109, -15.1030415356241, 302.225646972656, -15, 0.4128144715035, 28.6088771820068, -80.5981979370117, -144.324010806758, -32.1818125196911, 10.6975708991601, 13.1867027768699, -1.98160207953209, 2.15037001888502, 3.86677026453416, -1.31757804647032, 2.37950970800557, -123.623088672339
47501.1288679108, -15.1036651904265, 301.265563964844, -15, 0.414246563292649, 28.6088790893555, -80.5981903076172, -143.475660841513, -31.9697250283799, 10.6297029019405, 13.1315167808149, -1.97274883499015, 2.34549051092526, 3.82514808947287, -1.01361912093792, 2.21782678474658, -117.19796327065
47501.1888679108, -15.1043813128387, 300.305633544922, -15, 0.414923212537468, 28.6088809967041, -80.5981826782227, -142.627310876268, -31.7576375370688, 10.5618349047209, 13.0815818157121, -2.04829063120591, 2.32852351162037, 3.77937696674806, -0.93843520826507, 2.25294916582843, -114.618786179676
47501.2488679108, -15.1034338017624, 299.458099365234, -15, 0.413468148271607, 28.6088829040527, -80.5981750488281, -141.778960911024, -31.5455500457576, 10.4939669075014, 13.0261550036318, -2.0098208964473, 2.31155651231547, 3.73493272567897, -0.919585360435302, 2.21012904465439, -114.589785755022
47501.3088679108, -15.1027120922644, 298.627349853516, -15, 0.413675768731081, 28.6088848114014, -80.5981674194336, -140.930610945779, -31.3334625544464, 10.4260989102818, 12.9662930514894, -1.97660086639572, 2.29458951301058, 3.68975398319752, -0.879223353180602, 2.16325633979643, -113.98364096289
47501.3688679108, -15.1026012001259, 297.796569824219, -15, 0.414573933671277, 28.60888671875, -80.5981597900391, -140.082260980534, -31.1213750631352, 10.3582309130622, 12.9040003367959, -1.96051104156654, 2.27762251370569, 3.64315210309418, -0.830249437754753, 2.1290017908244, -112.955283995526
47501.4288679108, -15.1027154032604, 296.9658203125, -15, 0.415092238000197, 28.6088886260986, -80.5981521606445, -139.233911015289, -30.909287571824, 10.2903629158426, 12.8396542141396, -1.94573278618913, 2.26065551440078, 3.5962396626474, -0.792010655438502, 2.10069412243627, -112.151992642135
47501.4888679108, -15.1024760812257, 296.128295898438, -15, 0.415009333122154, 28.6088905334473, -80.59814453125, -138.385561050045, -30.6972000805128, 10.222494918623, 12.7734480563933, -1.93065721453789, 2.24368851509589, 3.54946779028669, -0.75843395619741, 2.07423277778624, -111.449866832395
47501.5488679108, -15.1027831227234, 295.297576904297, -15, 0.415895802033126, 28.6088924407959, -80.5981369018555, -137.5372110848, -30.4851125892017, 10.1546269214035, 12.7062796254577, -1.92340495380462, 2.226721515791, 3.50325711908567, -0.729719482881626, 2.05712836173469, -110.779270841205
47501.6088679108, -15.1026832363912, 294.900268554688, -15, 0.415824790684415, 28.6088943481445, -80.5981292724609, -136.688861119555, -30.2730250978905, 10.0867589241839, 12.6385120177421, -1.91906470526545, 2.2097545164861, 3.45770919654266, -0.702798634385039, 2.04366106401546, -110.116703983008
47501.6688679108, -15.1019877629353, 294.062713623047, -15, 0.415356241987655, 28.6088962554932, -80.5981216430664, -135.84051115431, -30.0609376065793, 10.0188909269643, 12.5708614348448, -1.9220270329396, 2.19278751718121, 3.41323533767083, -0.681263308310462, 2.0391501912404, -109.519852568916
47501.7288679108, -15.1012018791319, 293.225189208984, -15, 0.415270152147337, 28.6088981628418, -80.5981140136719, -134.992161189066, -29.8488501152681, 9.95102292974474, 12.5039473808997, -1.93206880906261, 2.17582051787631, 3.37012443606003, -0.664236780506597, 2.04302059103283, -108.975689267662
47501.7888679107, -15.0998595893089, 292.394470214844, -15, 0.414569143302998, 28.6089000701904, -80.5981063842773, -134.143811223821, -29.6367626239569, 9.88315493252516, 12.4383128359351, -1.94907713631768, 2.15885351857142, 3.32859758574838, -0.651307318732717, 2.05497913919346, -108.480615384599
47501.8488679107, -15.0981599103305, 291.556945800781, -15, 0.413885927146379, 28.6089019775391, -80.5980987548828, -133.295461258576, -29.4246751326457, 9.81528693530552, 12.3744791084695, -1.97346195031884, 2.14188651926652, 3.28887407461093, -0.742259264182188, 2.10838397654091, -110.615508629651
47501.9088679107, -15.0961606931444, 290.719421386719, -15, 0.413125107178193, 28.6089038848877, -80.5980911254883, -132.447111293331, -29.2125876413345, 9.747418938086, 12.29306697938, -1.78295236463225, 2.12491951996163, 3.23912044000548, -0.503973809817869, 1.85278891022506, -105.785836384109
47501.9688679107, -15.0945947633681, 289.881866455078, -15, 0.413143592399191, 28.6089057922363, -80.5980834960938, -131.598761328087, -29.0005001500234, 9.67955094086639, 12.235178735176, -2.03170029381963, 2.10795252065673, 3.20497863782237, -0.640140586282568, 2.130120720902, -107.491503930193
47502.0288679107, -15.0926539761663, 288.972015380859, -15, 0.41233285825909, 28.608907699585, -80.5980758666992, -130.750411362842, -28.7884126587122, 9.61168294364684, 12.1794347165915, -2.06923197544431, 2.09098552135184, 3.17373305320153, -0.652618108049834, 2.16966499157912, -107.508047604379
47502.0888679107, -15.0899812613911, 288.134521484375, -15, 0.410923776488428, 28.6089096069336, -80.5980682373047, -129.902061397597, -28.576325167401, 9.54381494642723, 12.1263950304539, -2.1156188212658, 2.07401852204694, 3.14446306824668, -0.658252788660492, 2.21561341151057, -107.286322771617
47502.1488679107, -15.0881784639402, 287.290191650391, -15, 0.411192124003595, 28.6089115142822, -80.5980606079102, -129.053711432352, -28.3642376760898, 9.47594694920765, 12.0779451362413, -2.18637966304354, 2.05705152274205, 3.11794902282565, -0.67499226716374, 2.28815415140298, -107.160363929001
47502.2088679107, -15.0862308612228, 286.452575683594, -15, 0.410551104444835, 28.6089134216309, -80.5980529785156, -128.205361467108, -28.1521501847786, 9.4080789519881, 12.0337921406245, -2.25938207884504, 2.04008452343716, 3.09437206397892, -0.697063753985464, 2.36441395857745, -107.149807588857
47502.2688679107, -15.0839800867987, 285.614990234375, -15, 0.409650091846575, 28.6089134216309, -80.5980453491211, -127.357011501863, -28.1521501847786, 9.34021095476849, 11.9939062849887, -2.33722426576024, 2.25217201478229, 3.07384128670621, -0.448876648952211, 2.37991507014228, -100.874424362006
47502.3288679107, -15.0822250813718, 285.204071044922, -15, 0.40960790575095, 28.6089153289795, -80.5980377197266, -126.508661536618, -27.9400626934674, 9.27234295754893, 11.9584030699399, -2.42150004630864, 2.02311752413226, 3.05639857349207, -0.734311391095413, 2.53032697665467, -106.874044926084
